MonthYear,Region,Organization,Type 1,Type 2,Type 3,Total Attendances,Type 1 < 4h,Type 2 < 4h,Type 3 < 4h,Total Attendances < 4h,Type 1 > 4h,Type 2 > 4h,Type 3 > 4h,Total Attendances > 4 hours,Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,>4h decision to admit,>12h decision to admit,Year,CovidPeriod,Within_4h_%,Over_4h_%,Type1_Over4h_%,Type1_Under4h_%
2015-06-01,North-East England,Harrogate And District NHS Foundation Trust,4054.0,0.0,657.0,4711.0,3887.0,0.0,657.0,4544.0,167.0,0.0,0.0,167.0,873.0,0.0,0.0,873.0,597.0,1470.0,10.0,0.0,2015,Pre-COVID,96.45510507323286,3.5448949267671406,4.119388258510114,95.88061174148989
2015-06-01,Midlands England,Nottingham University Hospitals NHS Trust,14486.0,1494.0,239.0,16219.0,13861.0,1493.0,239.0,15593.0,625.0,1.0,0.0,626.0,3832.0,0.0,0.0,3832.0,2306.0,6138.0,29.0,1.0,2015,Pre-COVID,96.14032924347987,3.859670756520131,4.314510561921855,95.68548943807814
2015-06-01,Midlands England,Nottingham Citycare Partnership,0.0,0.0,4594.0,4594.0,0.0,0.0,4593.0,4593.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,Pre-COVID,99.9782324771441,0.021767522855899,,
2015-06-01,Midlands England,NHS Nottingham City 8Am - 8Pm Health Centre,0.0,0.0,2838.0,2838.0,0.0,0.0,2838.0,2838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,Pre-COVID,100.0,0.0,,
2015-06-01,Midlands England,Malling Health - Telford Wic,0.0,0.0,669.0,669.0,0.0,0.0,669.0,669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,Pre-COVID,100.0,0.0,,
2015-06-01,Midlands England,Derbyshire Health United Ltd,0.0,0.0,1599.0,1599.0,0.0,0.0,1599.0,1599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,Pre-COVID,100.0,0.0,,
2015-06-01,Midlands England,Derbyshire Community Health Services NHS Foundation Trust,0.0,0.0,4474.0,4474.0,0.0,0.0,4469.0,4469.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,Pre-COVID,99.88824318283416,0.11175681716584711,,
2015-06-01,Midlands England,Derby Teaching Hospitals NHS Foundation Trust,11212.0,0.0,4008.0,15220.0,10450.0,0.0,4008.0,14458.0,762.0,0.0,0.0,762.0,3183.0,0.0,0.0,3183.0,1663.0,4846.0,63.0,0.0,2015,Pre-COVID,94.99342969776609,5.006570302233903,6.796289689618266,93.20371031038174
2015-06-01,Midlands England,Chesterfield Royal Hospital NHS Foundation Trust,6585.0,0.0,0.0,6585.0,6164.0,0.0,0.0,6164.0,421.0,0.0,0.0,421.0,1774.0,0.0,0.0,1774.0,931.0,2705.0,33.0,0.0,2015,Pre-COVID,93.60668185269552,6.3933181473044804,6.3933181473044804,93.60668185269552
2015-06-01,Midlands England,Burton Hospitals NHS Foundation Trust,5234.0,0.0,5193.0,10427.0,4867.0,0.0,5193.0,10060.0,367.0,0.0,0.0,367.0,1358.0,0.0,0.0,1358.0,670.0,2028.0,72.0,0.0,2015,Pre-COVID,96.48029155078163,3.5197084492183754,7.011845624761177,92.98815437523882
2015-06-01,Midlands England,West Suffolk NHS Foundation Trust,5392.0,0.0,0.0,5392.0,5184.0,0.0,0.0,5184.0,208.0,0.0,0.0,208.0,1348.0,0.0,0.0,1348.0,620.0,1968.0,8.0,0.0,2015,Pre-COVID,96.14243323442136,3.857566765578635,3.857566765578635,96.14243323442136
2015-06-01,Midlands England,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",5024.0,0.0,0.0,5024.0,4792.0,0.0,0.0,4792.0,232.0,0.0,0.0,232.0,1636.0,0.0,0.0,1636.0,877.0,2513.0,33.0,0.0,2015,Pre-COVID,95.38216560509554,4.617834394904459,4.617834394904459,95.38216560509554
